,#lat,long,speed,altitude,time
23.50025567,87.30587829999999,0.0,24.0,09/23/2019 18:14:01,Bus Stop_3+
23.50025753,87.30587719,0.0,25.0,09/23/2019 18:14:02,Bus Stop_3+
23.50025978,87.30587729,0.0,25.0,09/23/2019 18:14:03,Bus Stop_3+
23.50026376,87.30587746,0.0,25.0,09/23/2019 18:14:04,Bus Stop_3+
23.50026565,87.30587615,0.0,25.0,09/23/2019 18:14:05,Bus Stop_3+
23.50026689,87.30587366,0.0,25.0,09/23/2019 18:14:06,Bus Stop_3+
23.50026766,87.30586974,0.0,25.0,09/23/2019 18:14:07,Bus Stop_3+
23.50026663,87.30586786,0.0,25.0,09/23/2019 18:14:08,
23.50026635,87.30586643,0.0,25.0,09/23/2019 18:14:09,
23.50027975,87.3058708,1.8799999952316284,27.0,09/23/2019 18:14:10,
23.50029947,87.30587868,2.380000114440918,28.0,09/23/2019 18:14:11,
23.500321300000003,87.30588857,2.549999952316284,28.0,09/23/2019 18:14:12,
